index,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
20.5,-37.71325,-3.4162999999999997,7.1141000000000005,-11.15145,-26.6684,-37.486450000000005,-24.3913,0.07075000000000001,10.785,0.92325,-0.63715,4.827999999999999,7.0764,7.21495,6.67315,5.983650000000001,5.513199999999999,5.7422,5.28845,3.2330500000000004,1.2123,-0.5438000000000001,-1.7803499999999999,-2.7338500000000003,-2.96685,-2.5153,-2.2163500000000003,-2.2424999999999997,-2.30365,-2.3426,-2.3662,-2.4115,-2.4698,-2.48975,-2.35855,-2.0949999999999998,-1.8221500000000002
22.5,-42.8789,-9.542250000000001,4.44525,-12.2121,-29.186999999999998,-39.305049999999994,-24.23595,0.81535,10.710249999999998,1.0574999999999999,-2.1260499999999998,2.47375,4.41,4.5809,4.06855,3.6618,3.3148,3.67755,4.26765,3.1938,1.2396500000000001,-0.34055,-1.4212,-2.2911,-3.00705,-3.2418,-3.1359,-3.075,-3.0331,-3.01305,-3.00335,-2.9885,-2.9517,-2.86515,-2.70045,-2.4457500000000003,-2.1391
24.5,-37.40565,-16.4922,0.61415,-14.7926,-31.711399999999998,-39.94785,-23.8101,1.7162,10.81775,1.7389000000000001,-3.6854999999999998,1.9314999999999998,3.3995,3.3068,3.0261500000000003,2.7118,2.3329500000000003,2.4582499999999996,3.1568,2.85915,1.8834499999999998,0.43855,-0.8266,-1.84885,-2.62735,-3.0696000000000003,-3.24305,-3.2704000000000004,-3.2495,-3.19405,-3.1347,-3.0740499999999997,-2.98515,-2.85315,-2.6575499999999996,-2.37965,-2.0675499999999998
26.5,-29.783,-19.96555,-2.03985,-16.39715,-33.1845,-40.7849,-22.7971,2.2706,11.001999999999999,1.8000500000000001,-3.76525,0.9759,3.7206,4.4923,4.22155,3.7595,3.14605,2.3893500000000003,2.4282500000000002,1.8799000000000001,0.82955,-0.19984999999999997,-0.81715,-1.2538999999999998,-1.6799,-2.14605,-2.6025,-2.7180999999999997,-2.7548,-2.72525,-2.68285,-2.6652,-2.6795999999999998,-2.694,-2.6593999999999998,-2.41545,-2.1086
28.5,-23.00715,-23.15,-3.75985,-17.9873,-34.82535,-40.5356,-21.71835,2.79955,10.73325,1.8632499999999999,-3.2371499999999997,-0.046549999999999994,2.3952999999999998,3.5534,3.7188499999999998,3.4536,3.06095,2.0581,0.93315,-0.009699999999999986,-1.25275,-1.8991,-1.8823499999999997,-1.50375,-1.4807000000000001,-1.9455,-2.5596,-2.81155,-2.991,-3.0828,-3.12305,-3.154,-3.1887499999999998,-3.18485,-3.06775,-2.77565,-2.4678
30.5,-14.22685,-25.223,-5.4793,-18.8182,-36.436,-40.9634,-21.34035,3.3183499999999997,10.995899999999999,1.79195,-2.47525,-0.33025,1.5968499999999999,2.52675,2.76875,2.7108,2.7691,2.4237,0.89165,-0.75255,-1.6196000000000002,-2.29725,-2.8434999999999997,-2.5439499999999997,-2.0919,-2.0877,-2.43175,-2.6364,-2.8328499999999996,-3.01715,-3.1781,-3.3143000000000002,-3.39635,-3.4134,-3.3102,-3.0193000000000003,-2.6996
32.5,-8.3643,-26.9709,-5.98085,-19.96135,-36.897850000000005,-41.47095,-21.79935,3.0166,11.5323,2.49315,-2.9446000000000003,-1.5859,0.68455,1.32645,1.3796,1.46235,1.5503,1.5111500000000002,0.8167,-0.65435,-1.9675500000000001,-2.7849,-3.2925500000000003,-3.0576499999999998,-2.4615,-2.26925,-2.6017,-2.807,-2.9831000000000003,-3.1136,-3.20055,-3.2584999999999997,-3.2615499999999997,-3.20825,-3.0454499999999998,-2.76505,-2.47
34.5,-6.6887,-28.5315,-8.6431,-21.83015,-38.62865,-42.032250000000005,-22.0674,3.4194500000000003,11.687,2.86475,-3.0583,-1.8513,-0.4461,0.44265000000000004,0.4203,0.020949999999999996,-0.3221,-0.4072,-1.0395,-1.9158500000000003,-2.5467,-3.0998,-3.1142,-3.0254,-2.8664500000000004,-2.74435,-2.8922999999999996,-3.0017500000000004,-3.08875,-3.1479,-3.1780999999999997,-3.1494,-3.0528500000000003,-2.92805,-2.7755,-2.58495,-2.3350999999999997
36.5,-7.2071,-28.746699999999997,-11.34675,-23.6384,-40.455600000000004,-41.1235,-21.88025,3.4225000000000003,11.8702,2.8251,-3.3630500000000003,-1.2728,1.29955,2.25975,2.26845,1.85245,1.2196,0.17524999999999996,-0.94985,-1.9559,-2.6823,-3.06555,-3.2866,-3.4575500000000003,-3.5732,-3.47595,-3.3697,-3.3546,-3.324,-3.25275,-3.1464,-3.01135,-2.84825,-2.6699,-2.4735500000000004,-2.22525,-1.9621499999999998
38.5,-5.4352,-29.3809,-12.48,-23.933950000000003,-41.265550000000005,-41.0654,-21.605,3.56765,10.92765,3.8986,-2.08275,-1.43485,0.6741999999999999,2.3161500000000004,2.7323500000000003,2.5971,2.16825,1.0776,-0.16044999999999998,-1.6024500000000002,-2.73255,-3.1306000000000003,-3.32985,-3.8052,-4.1678,-4.14375,-3.8828500000000004,-3.7031,-3.50775,-3.3156499999999998,-3.13335,-2.9729,-2.8281,-2.67625,-2.4753,-2.21755,-1.9267500000000002
