index,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
62,-11.5684,28.4514,25.7222,15.4464,10.2860,4.5201,-19.1171,-17.2827,-5.4009,-5.3290,-1.3750,2.9417,5.1153,5.1997,4.3675,3.4232,2.6384,1.3189,-0.0209,-1.4185,-2.4694,-3.1245,-3.5843,-3.8194,-3.8595,-3.8200,-3.7762,-3.7428,-3.6966,-3.6427,-3.5883,-3.5277,-3.4376,-3.2882,-3.0793,-2.8298,-2.5858
63,-17.3650,29.8970,33.3805,23.7907,18.0919,12.5536,-5.8198,-17.4573,-5.7662,-3.4002,-0.9026,1.2214,2.2534,2.3373,2.0078,1.5968,1.2506,0.5009,-0.5057,-1.4771,-2.1535,-2.6283,-2.9598,-3.2262,-3.4113,-3.4665,-3.4114,-3.3458,-3.2666,-3.1874,-3.1189,-3.0627,-3.0061,-2.9238,-2.7921,-2.6008,-2.3936
64,-34.3809,20.4670,31.2893,24.6942,19.3932,15.3693,6.0588,-8.9346,-9.9632,-4.0540,-1.5096,0.9731,1.7561,1.3911,0.7589,0.2337,-0.1195,-0.7256,-1.4312,-2.0689,-2.5151,-2.7522,-2.8050,-2.8676,-2.9668,-3.0231,-3.0011,-2.9793,-2.9578,-2.9390,-2.9244,-2.9093,-2.8916,-2.8511,-2.7574,-2.5878,-2.4043
65,-50.2003,0.1453,20.3243,18.2369,13.7713,12.1173,9.1288,1.6276,-10.7017,-5.2429,-1.4668,-0.9744,-1.3442,-1.6121,-1.7395,-1.8738,-2.0105,-2.3336,-2.7251,-3.0313,-3.0975,-3.1637,-3.3367,-3.4998,-3.4919,-3.3815,-3.3392,-3.3639,-3.4037,-3.4679,-3.5547,-3.6314,-3.6571,-3.6174,-3.4925,-3.2384,-2.9783
66,-59.2397,-17.3986,3.1011,13.5441,9.1367,7.7589,9.1032,3.9109,-9.9602,-10.5685,-6.7047,-6.2601,-6.5349,-6.5037,-6.1829,-5.8657,-5.6282,-5.3133,-5.1082,-5.0260,-4.8398,-4.5890,-4.2700,-3.9812,-3.6942,-3.3857,-3.1721,-3.1264,-3.1269,-3.1766,-3.2560,-3.3252,-3.3409,-3.2969,-3.1915,-2.9718,-2.7519
67,-43.0265,-27.9515,-6.5581,4.7898,1.4940,0.1558,6.9179,4.2289,-7.7826,-11.0239,-7.2041,-7.4217,-8.4167,-8.6099,-8.3228,-7.9268,-7.4596,-6.6713,-6.1713,-5.7755,-5.3688,-4.9503,-4.5209,-4.1690,-3.8883,-3.5869,-3.2818,-3.1634,-3.0817,-3.0499,-3.0676,-3.1084,-3.1318,-3.1060,-3.0117,-2.8005,-2.5899
68,-9.3290,-29.3836,-15.5984,-2.1381,-4.0556,-3.1236,7.2300,6.2379,-3.4214,-9.4207,-4.9252,-3.9578,-3.6253,-3.4694,-3.4541,-3.4388,-3.3200,-3.1466,-3.3832,-3.6060,-3.6639,-3.6152,-3.5365,-3.5535,-3.5725,-3.3635,-3.0252,-2.8719,-2.7485,-2.6718,-2.6520,-2.6868,-2.7353,-2.7328,-2.6528,-2.4755,-2.3078
69,11.6778,1.4325,-11.5032,-12.4720,-12.5134,-10.4092,6.4648,7.3734,0.3404,-6.8450,-2.0761,0.6834,1.2117,0.8722,0.3418,-0.1295,-0.4791,-1.0567,-1.6852,-2.2175,-2.6857,-3.1180,-3.3809,-3.5032,-3.5065,-3.3322,-3.0340,-2.8792,-2.7410,-2.6456,-2.6118,-2.6273,-2.6331,-2.5944,-2.5249,-2.3931,-2.2354
70,5.9385,4.5423,6.6827,-10.9488,-20.3131,-19.4550,1.8107,6.8256,1.6002,-5.8739,-3.4970,-0.1857,1.0690,0.9958,0.5952,0.2342,-0.0259,-0.5516,-1.2921,-2.0384,-2.5173,-2.8647,-3.0687,-3.2712,-3.4685,-3.6211,-3.6397,-3.5691,-3.4545,-3.3189,-3.1958,-3.1025,-3.0135,-2.8963,-2.7639,-2.5947,-2.4124
71,-0.9583,-24.5082,-6.7472,-10.5943,-24.3262,-27.5505,-4.8592,5.4315,3.1807,-3.0329,-3.3950,-0.9250,0.9518,1.7865,1.8802,1.6539,1.3117,0.3758,-0.8206,-2.0266,-2.8872,-3.2978,-3.3987,-3.4590,-3.5351,-3.5365,-3.4484,-3.3664,-3.2694,-3.1809,-3.1191,-3.0894,-3.0494,-2.9522,-2.8025,-2.6003,-2.3990
72,-32.5455,-36.3801,-29.9874,-20.2238,-30.0669,-30.0473,-8.5514,4.0335,3.5745,-2.5170,-3.8471,-1.5431,0.3245,1.1132,1.1244,0.8705,0.5761,-0.1551,-1.2572,-2.5036,-3.3352,-3.5125,-3.2751,-3.1192,-3.1439,-3.2555,-3.3664,-3.4065,-3.4352,-3.4611,-3.4927,-3.5214,-3.5076,-3.4097,-3.2094,-2.9345,-2.6751
73,-1.9152,-28.8881,-32.5195,-27.9519,-32.3357,-29.1398,-12.2839,1.4273,3.6555,-2.5804,-3.0005,-0.5818,0.7531,1.2471,1.1776,0.9510,0.7668,0.3643,-0.4729,-1.5724,-2.4669,-2.9174,-3.0744,-3.1972,-3.2866,-3.3876,-3.4582,-3.4720,-3.4783,-3.4879,-3.5086,-3.5337,-3.5146,-3.4159,-3.2254,-2.9819,-2.7442
74,9.8929,16.6782,2.8329,-22.8292,-31.5663,-29.8041,-16.8532,-2.3702,4.2643,-1.6468,-1.1542,1.9649,2.5333,2.0480,1.3187,0.6639,0.1563,-0.6477,-1.5314,-2.4258,-3.1027,-3.5498,-3.8263,-4.0797,-4.2774,-4.3901,-4.3811,-4.3304,-4.2526,-4.1492,-4.0277,-3.8831,-3.7143,-3.5148,-3.2750,-2.9989,-2.7351
75,9.8897,27.3235,22.9474,4.2530,-17.1621,-31.2884,-20.0582,-9.7942,4.0877,1.1067,0.1845,2.9351,3.3045,2.5274,1.6202,0.8963,0.3542,-0.6221,-1.6330,-2.4259,-2.9898,-3.3982,-3.6256,-3.7972,-3.9037,-3.9667,-3.9284,-3.8506,-3.7361,-3.5965,-3.4574,-3.3353,-3.2287,-3.1127,-2.9585,-2.7513,-2.5308
76,1.5591,27.7548,28.8163,19.7950,7.6841,-14.0936,-24.4248,-16.7177,-2.1289,0.8476,-0.6622,0.4477,0.2607,-0.2816,-0.8697,-1.3368,-1.6565,-2.1269,-2.6173,-3.1343,-3.6462,-4.0631,-4.2529,-4.3830,-4.4885,-4.4886,-4.3651,-4.2745,-4.1654,-4.0506,-3.9523,-3.8700,-3.7787,-3.6519,-3.4701,-3.2258,-2.9659
77,-3.7752,20.3200,26.6819,22.7508,17.9750,9.2412,-21.5056,-19.2123,-9.5743,-4.5478,-2.5235,-3.1816,-3.9454,-3.9994,-3.9262,-3.8760,-3.8309,-3.7394,-3.6929,-3.7186,-3.7073,-3.7753,-3.8869,-3.9282,-3.7951,-3.5078,-3.2721,-3.2170,-3.2005,-3.2337,-3.3079,-3.3851,-3.4288,-3.4058,-3.2895,-3.0470,-2.7981
78,-17.7486,13.4520,21.2065,20.1717,17.5621,14.6900,-0.0746,-14.7720,-12.9222,-8.5780,-7.0737,-6.8954,-6.9316,-6.5465,-6.0345,-5.5159,-5.0562,-4.2048,-3.4871,-3.0161,-2.8129,-2.8422,-2.8852,-2.8510,-2.7131,-2.4872,-2.3269,-2.3178,-2.3412,-2.3919,-2.4626,-2.5357,-2.5854,-2.5953,-2.5497,-2.3998,-2.2396
