index,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
8142.0,32.78856666666667,25.30886666666667,9.135800000000001,3.7028666666666665,10.9551,4.394533333333333,-35.470733333333335,-25.857133333333334,0.5915666666666667,0.26486666666666664,-1.1401999999999999,1.8759,1.5364666666666666,0.3478333333333334,-0.7180999999999998,-1.6158666666666666,-2.5128,-3.970466666666667,-4.723766666666666,-5.0257000000000005,-5.1022,-5.236766666666667,-5.357333333333333,-5.480066666666667,-5.424766666666667,-5.071666666666666,-4.5386999999999995,-4.2241333333333335,-3.8895,-3.5305,-3.149533333333333,-2.7723666666666666,-2.4279333333333333,-2.1557999999999997,-2.038866666666667,-1.9965666666666666,-1.8568333333333333
8145.0,29.6069,25.348866666666666,10.271133333333333,3.8172666666666664,11.325166666666666,5.2497,-34.9442,-26.443,-0.5364333333333333,1.0414,-0.9125666666666667,2.0508,2.0796000000000006,0.9926,0.0971,-0.6277666666666667,-1.3233666666666668,-2.8997666666666664,-4.501933333333334,-5.180666666666667,-5.211566666666667,-5.036466666666667,-5.000566666666667,-5.271166666666667,-5.452733333333332,-5.341633333333334,-4.981566666666667,-4.717366666666666,-4.441966666666667,-4.164966666666667,-3.8700999999999994,-3.544033333333333,-3.212566666666666,-2.936,-2.801133333333333,-2.7061666666666664,-2.481
8148.0,26.993466666666666,24.999633333333332,10.570266666666667,4.266766666666666,11.392633333333334,5.924766666666667,-34.84823333333333,-26.898433333333333,-1.2902333333333333,1.2627,-1.0835,1.3178333333333334,1.7356666666666667,1.0437666666666667,0.3424,-0.23076666666666665,-0.7075666666666667,-1.8575999999999997,-3.3717333333333332,-4.8735333333333335,-5.538466666666667,-5.692433333333334,-5.685233333333334,-5.870866666666667,-6.1114,-6.076533333333333,-5.744866666666667,-5.4803,-5.1946666666666665,-4.8825666666666665,-4.533833333333334,-4.134033333333334,-3.7129333333333334,-3.3486333333333334,-3.125033333333333,-2.9065999999999996,-2.5961
8151.0,24.8229,25.753866666666667,11.714799999999999,4.143066666666667,11.113333333333335,6.2535,-34.44206666666666,-27.211533333333335,-1.7614333333333334,1.810533333333333,-0.9886333333333334,1.8514,2.3781666666666665,1.8435333333333332,1.2532333333333334,0.6110333333333333,0.06813333333333334,-1.0493,-2.084466666666667,-3.1201000000000003,-4.249466666666667,-4.940666666666666,-5.214533333333333,-5.603066666666667,-5.883366666666666,-5.817033333333334,-5.4254999999999995,-5.130433333333333,-4.811733333333334,-4.476966666666667,-4.113433333333333,-3.7127,-3.3091333333333335,-2.9609,-2.7456666666666663,-2.5705666666666667,-2.3204666666666665
8154.0,22.209500000000002,25.304466666666666,11.872133333333332,3.2107333333333337,10.750066666666667,6.852966666666667,-34.024,-27.5234,-2.1704,2.3302333333333336,0.1865333333333333,2.869666666666667,3.2021,2.1948666666666665,1.4358333333333333,0.8250666666666667,0.14136666666666667,-1.3693666666666668,-2.4872333333333336,-3.1271,-3.6817333333333337,-4.1308333333333325,-4.419666666666667,-4.8702,-5.150833333333334,-5.0813999999999995,-4.7879,-4.5581000000000005,-4.311366666666666,-4.048666666666667,-3.7431666666666668,-3.398433333333333,-3.0757,-2.8109333333333333,-2.641366666666667,-2.4734,-2.2367666666666666
8157.0,18.231466666666666,25.6045,11.301766666666666,2.2318666666666664,10.221166666666667,7.7413,-33.70803333333333,-28.09306666666667,-2.4659,2.837566666666667,0.8725333333333335,3.5507666666666666,3.7039333333333335,2.9611666666666667,2.346166666666667,1.7698,1.0276333333333334,-0.8557,-2.5304333333333333,-3.4379000000000004,-3.7711,-3.918366666666667,-4.349666666666667,-4.8644,-5.051433333333333,-4.9684,-4.695866666666666,-4.440833333333333,-4.153666666666666,-3.8708666666666667,-3.5894,-3.3046666666666664,-3.023733333333334,-2.7626000000000004,-2.5719,-2.3767666666666667,-2.129
8160.0,16.572866666666666,25.855833333333333,12.391033333333333,2.1991333333333336,10.628033333333335,8.556133333333333,-33.706966666666666,-28.339,-2.913866666666667,2.8805,1.3324,2.5314666666666668,2.1660666666666666,1.8851666666666664,1.7775333333333334,1.7721,1.6458333333333333,0.6709333333333333,-0.8691,-2.271933333333333,-3.235466666666666,-3.679933333333333,-3.7628000000000004,-4.106533333333333,-4.5912,-4.6999,-4.466133333333334,-4.2254,-3.9396999999999998,-3.6384666666666665,-3.349766666666667,-3.0926666666666667,-2.8638999999999997,-2.6732666666666667,-2.5440666666666663,-2.3983000000000003,-2.1558333333333333
8163.0,13.7708,25.808466666666664,14.336333333333334,3.124966666666667,10.889000000000001,9.158900000000001,-33.31666666666667,-28.56356666666667,-3.1803333333333335,3.2424999999999997,1.5848333333333333,1.6011333333333333,1.5745333333333333,2.0439000000000003,2.127266666666667,1.9531333333333336,1.5744999999999998,0.6892999999999999,-0.4287,-1.4216333333333335,-2.3175333333333334,-3.0201000000000007,-3.4527,-3.8659,-4.2699,-4.509366666666667,-4.491033333333333,-4.317700000000001,-4.069466666666666,-3.786433333333333,-3.5046999999999997,-3.236333333333333,-2.9979666666666667,-2.794333333333333,-2.6308000000000002,-2.4378333333333333,-2.1919
8166.0,11.636733333333334,25.11566666666667,14.917699999999998,3.5668333333333333,11.0422,9.9906,-33.060966666666666,-28.7586,-3.536,3.6758666666666664,0.9733333333333333,0.6619666666666667,0.7847666666666666,1.4664666666666666,1.7187666666666666,1.6434333333333333,1.5096999999999998,0.8543666666666665,-0.2888,-1.4257666666666668,-2.201566666666667,-2.6656,-3.2652,-3.8165666666666667,-4.127633333333334,-4.214733333333334,-4.2455,-4.190033333333333,-4.069733333333333,-3.883433333333333,-3.6523333333333334,-3.3745,-3.0825,-2.8195666666666668,-2.5913666666666666,-2.3749333333333333,-2.1412
8169.0,7.277533333333333,24.359333333333336,15.821366666666668,2.2213666666666665,9.801966666666667,9.976633333333332,-32.26403333333333,-28.851799999999997,-3.670566666666667,3.7975,1.5621666666666665,1.4049333333333334,-0.5704333333333332,-1.2897999999999998,-1.7869666666666666,-1.9377000000000002,-1.9240000000000002,-1.8404,-2.2243333333333335,-2.8512999999999997,-2.8651666666666666,-2.5683333333333334,-2.8394666666666666,-3.2902,-3.5752666666666664,-3.550933333333333,-3.5151333333333334,-3.4500333333333333,-3.335266666666666,-3.173766666666667,-2.9936666666666665,-2.818,-2.660066666666667,-2.5482,-2.453066666666667,-2.2711,-2.0461666666666667
